,0,1
0,899,0
1,830,0
2,533,0
3,829,0
4,376,0
5,798,0
6,354,0
7,526,0
8,1183,0
9,90,0
10,351,0
11,492,0
12,667,0
13,668,0
14,889,0
15,72,0
16,722,0
17,52,0
18,1044,0
19,1045,0
20,348,0
21,298,0
22,377,0
23,1204,0
24,1154,0
25,698,0
26,1116,0
27,293,0
28,963,0
29,877,0
30,372,0
31,297,0
32,352,0
33,488,0
34,366,0
35,295,0
36,350,0
37,353,0
38,849,0
39,440,0
40,986,0
41,266,0
42,349,0
43,525,0
44,447,0
45,385,0
46,392,0
47,553,0
48,386,0
49,1066,0
50,822,0
51,543,0
52,192,0
53,880,0
54,39,0
55,1156,0
56,1067,0
57,450,0
58,291,0
59,365,0
